batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 0, 0, 50, 1590992172.355, 1590992172.355, 1590992172.356, 1590992172.356, 1590992174.62, 1590992175.034, 1590992175.035, 1590992175.035, 1590992175.036, 1590992175.036
512, 0, 0, 51, 1590992172.836, 1590992172.837, 1590992172.837, 1590992172.837, 1590992180.338, 1590992180.338, 1590992180.339, 1590992180.339, 1590992180.339, 1590992180.34
512, 0, 0, 52, 1590992173.504, 1590992173.504, 1590992173.505, 1590992173.505, 1590992180.342, 1590992181.03, 1590992181.03, 1590992181.03, 1590992181.031, 1590992181.031
512, 0, 0, 53, 1590992174.324, 1590992174.324, 1590992174.325, 1590992174.325, 1590992181.414, 1590992181.78, 1590992181.781, 1590992181.781, 1590992181.782, 1590992181.782
512, 0, 0, 54, 1590992175.036, 1590992180.153, 1590992180.154, 1590992180.154, 1590992182.132, 1590992182.429, 1590992182.598, 1590992182.598, 1590992182.599, 1590992182.599
512, 0, 0, 55, 1590992180.34, 1590992180.341, 1590992180.341, 1590992180.342, 1590992182.6, 1590992183.127, 1590992183.128, 1590992183.128, 1590992183.128, 1590992183.129
512, 0, 0, 56, 1590992181.031, 1590992181.032, 1590992181.032, 1590992181.032, 1590992183.489, 1590992183.852, 1590992183.853, 1590992183.853, 1590992183.853, 1590992183.855
512, 0, 0, 57, 1590992181.782, 1590992181.782, 1590992181.783, 1590992181.783, 1590992184.179, 1590992184.612, 1590992184.613, 1590992184.613, 1590992184.614, 1590992184.614
512, 0, 0, 58, 1590992182.599, 1590992182.599, 1590992182.6, 1590992182.6, 1590992184.616, 1590992185.234, 1590992185.234, 1590992185.234, 1590992185.235, 1590992185.235
512, 0, 0, 59, 1590992183.129, 1590992183.129, 1590992183.129, 1590992183.13, 1590992185.434, 1590992185.911, 1590992185.912, 1590992185.912, 1590992185.912, 1590992185.913
512, 0, 0, 60, 1590992183.855, 1590992183.855, 1590992183.856, 1590992183.856, 1590992185.915, 1590992186.687, 1590992186.688, 1590992186.688, 1590992186.689, 1590992186.69
512, 0, 0, 61, 1590992184.614, 1590992184.615, 1590992184.615, 1590992184.615, 1590992190.412, 1590992190.412, 1590992190.614, 1590992190.615, 1590992190.615, 1590992190.616
512, 0, 0, 62, 1590992185.235, 1590992185.236, 1590992185.236, 1590992185.236, 1590992190.617, 1590992191.265, 1590992191.266, 1590992191.266, 1590992191.266, 1590992191.267
512, 0, 0, 63, 1590992185.913, 1590992185.913, 1590992185.914, 1590992185.914, 1590992191.599, 1590992192.038, 1590992192.038, 1590992192.038, 1590992192.039, 1590992192.039
512, 0, 0, 64, 1590992186.69, 1590992190.41, 1590992190.411, 1590992190.412, 1590992192.039, 1590992192.635, 1590992192.636, 1590992192.636, 1590992192.636, 1590992192.637
512, 0, 0, 65, 1590992190.616, 1590992190.616, 1590992190.617, 1590992190.617, 1590992192.637, 1590992193.098, 1590992193.099, 1590992193.099, 1590992193.099, 1590992193.1
512, 0, 0, 66, 1590992191.267, 1590992191.267, 1590992191.268, 1590992191.268, 1590992193.1, 1590992193.491, 1590992193.491, 1590992193.491, 1590992193.492, 1590992193.493
512, 0, 1, 0, 1590992103.945, 1590992114.47, 1590992116.564, 1590992116.564, 1590992116.701, 1590992124.837, 1590992126.65, 1590992126.65, 1590992126.65, 1590992126.763
512, 0, 1, 1, 1590992116.564, 1590992116.564, 1590992116.664, 1590992116.664, 1590992126.9, 1590992126.9, 1590992126.918, 1590992126.918, 1590992126.919, 1590992127.109
512, 0, 1, 2, 1590992116.664, 1590992116.664, 1590992116.7, 1590992116.7, 1590992128.04, 1590992128.041, 1590992128.053, 1590992128.053, 1590992128.054, 1590992128.317
512, 0, 1, 3, 1590992126.763, 1590992126.763, 1590992126.764, 1590992126.764, 1590992128.448, 1590992128.879, 1590992128.913, 1590992128.913, 1590992128.913, 1590992129.167
512, 0, 1, 4, 1590992127.109, 1590992127.9, 1590992127.901, 1590992127.901, 1590992129.169, 1590992129.508, 1590992129.515, 1590992129.515, 1590992129.515, 1590992129.516
512, 0, 1, 5, 1590992128.317, 1590992128.317, 1590992128.317, 1590992128.317, 1590992130.104, 1590992130.113, 1590992130.119, 1590992130.119, 1590992130.12, 1590992130.12
512, 0, 1, 6, 1590992129.167, 1590992129.168, 1590992129.168, 1590992129.169, 1590992130.609, 1590992130.85, 1590992130.867, 1590992130.867, 1590992130.868, 1590992130.868
512, 0, 1, 7, 1590992129.516, 1590992129.91, 1590992129.911, 1590992129.911, 1590992131.378, 1590992131.522, 1590992131.528, 1590992131.528, 1590992131.528, 1590992131.746
512, 0, 1, 8, 1590992130.12, 1590992130.421, 1590992130.422, 1590992130.422, 1590992132.029, 1590992132.356, 1590992132.366, 1590992132.366, 1590992132.706, 1590992132.707
