batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 1, 3, 4, 1590957062.168, 1590957062.168, 1590957062.174, 1590957062.174, 1590957062.525, 1590957062.525, 1590957062.994, 1590957062.994, 1590957062.994, 1590957062.996
512, 1, 3, 5, 1590957062.996, 1590957062.996, 1590957063.002, 1590957063.002, 1590957063.346, 1590957063.346, 1590957063.858, 1590957063.858, 1590957063.859, 1590957063.86
512, 1, 3, 6, 1590957063.86, 1590957063.86, 1590957063.866, 1590957063.866, 1590957064.214, 1590957064.214, 1590957064.696, 1590957064.696, 1590957064.696, 1590957064.697
512, 1, 3, 7, 1590957064.697, 1590957064.697, 1590957064.702, 1590957064.702, 1590957065.044, 1590957065.044, 1590957065.534, 1590957065.534, 1590957065.535, 1590957065.537
512, 1, 3, 8, 1590957065.537, 1590957065.538, 1590957065.546, 1590957065.546, 1590957065.885, 1590957065.885, 1590957067.356, 1590957067.356, 1590957067.356, 1590957067.359
512, 1, 3, 9, 1590957067.359, 1590957067.36, 1590957067.368, 1590957067.368, 1590957067.709, 1590957067.709, 1590957068.524, 1590957068.524, 1590957068.524, 1590957068.526
512, 1, 3, 10, 1590957068.526, 1590957068.527, 1590957068.534, 1590957068.534, 1590957068.908, 1590957068.908, 1590957069.541, 1590957069.541, 1590957069.541, 1590957069.544
512, 1, 3, 11, 1590957069.544, 1590957069.544, 1590957069.56, 1590957069.56, 1590957069.884, 1590957069.884, 1590957070.37, 1590957070.37, 1590957070.37, 1590957070.372
512, 1, 3, 12, 1590957070.372, 1590957070.372, 1590957070.376, 1590957070.376, 1590957070.705, 1590957070.705, 1590957071.195, 1590957071.195, 1590957071.195, 1590957071.196
512, 1, 3, 13, 1590957071.196, 1590957071.197, 1590957071.201, 1590957071.201, 1590957071.515, 1590957071.515, 1590957072.002, 1590957072.002, 1590957072.002, 1590957072.004
512, 1, 3, 14, 1590957072.004, 1590957072.004, 1590957072.008, 1590957072.008, 1590957072.331, 1590957072.331, 1590957072.797, 1590957072.797, 1590957072.797, 1590957072.799
512, 1, 3, 15, 1590957072.799, 1590957072.799, 1590957072.803, 1590957072.803, 1590957073.125, 1590957073.125, 1590957073.601, 1590957073.601, 1590957073.602, 1590957073.603
512, 2, 0, 0, 1590957074.383, 1590957087.165, 1590957087.177, 1590957087.177, 1590957087.469, 1590957087.469, 1590957091.341, 1590957091.341, 1590957091.341, 1590957091.344
512, 2, 0, 1, 1590957091.344, 1590957091.345, 1590957091.352, 1590957091.352, 1590957091.739, 1590957091.739, 1590957092.234, 1590957092.234, 1590957092.234, 1590957092.236
512, 2, 0, 2, 1590957092.236, 1590957092.236, 1590957092.241, 1590957092.241, 1590957092.574, 1590957092.574, 1590957093.038, 1590957093.038, 1590957093.038, 1590957093.04
512, 2, 0, 3, 1590957093.04, 1590957093.04, 1590957093.045, 1590957093.045, 1590957093.37, 1590957093.37, 1590957093.869, 1590957093.869, 1590957093.869, 1590957093.871
512, 2, 0, 4, 1590957093.871, 1590957093.871, 1590957093.878, 1590957093.878, 1590957094.222, 1590957094.222, 1590957094.719, 1590957094.719, 1590957094.719, 1590957094.721
512, 2, 0, 5, 1590957094.721, 1590957094.721, 1590957094.728, 1590957094.728, 1590957095.068, 1590957095.068, 1590957095.579, 1590957095.579, 1590957095.58, 1590957095.582
512, 2, 0, 6, 1590957095.582, 1590957095.582, 1590957095.59, 1590957095.59, 1590957095.906, 1590957095.906, 1590957096.389, 1590957096.389, 1590957096.39, 1590957096.391
512, 2, 0, 7, 1590957096.391, 1590957096.391, 1590957096.396, 1590957096.396, 1590957096.748, 1590957096.748, 1590957098.204, 1590957098.205, 1590957098.205, 1590957098.207
512, 2, 0, 8, 1590957098.207, 1590957098.207, 1590957098.212, 1590957098.212, 1590957098.555, 1590957098.555, 1590957099.81, 1590957099.81, 1590957099.811, 1590957099.814
512, 2, 0, 9, 1590957099.815, 1590957099.815, 1590957099.827, 1590957099.827, 1590957100.148, 1590957100.148, 1590957100.643, 1590957100.643, 1590957100.643, 1590957100.644
512, 2, 0, 10, 1590957100.644, 1590957100.645, 1590957100.649, 1590957100.649, 1590957100.956, 1590957100.956, 1590957101.44, 1590957101.44, 1590957101.44, 1590957101.442
512, 2, 0, 11, 1590957101.442, 1590957101.442, 1590957101.446, 1590957101.446, 1590957101.765, 1590957101.765, 1590957102.253, 1590957102.253, 1590957102.253, 1590957102.255
